country,gdpcapita
Afghanistan,551.8650285
Albania,5223.809213
Algeria,4114.706089
Andorra,42051.59541
Angola,3437.295458
Anguilla,19890.72656
Antigua and Barbuda,16726.98081
Argentina,11687.598
Armenia,4212.133087
Aruba,30262.48723
Australia,58392.70912
Austria,51230.2753
Azerbaijan,4717.719834
Bahamas,32218.12222
Bahrain,24133.54931
Bangladesh,1670.796355
Barbados,17745.86781
Belarus,6311.718071
Belgium,47292.96711
Belize,4884.742421
Benin,906.5387273
Bermuda,101207.8526
Bhutan,3523.799502
Bolivia (Plurinational State of),3548.590155
Bosnia and Herzegovina,5951.382784
Botswana,8258.226784
Brazil,8920.70049
British Virgin Islands,48511.25804
Brunei Darussalam,31627.23305
Bulgaria,9387.813427
Burkina Faso,820.1744385
Burundi,293.9633429
Cabo Verde,3635.407671
Cambodia,1512.127268
Cameroon,1534.491991
Canada,46192.37514
Cayman Islands,85474.20982
Central African Republic,480.7094316
Chad,735.7296642
Chile,15923.35874
"China, Hong Kong SAR",49199.03717
"China, Macao Special Administrative Region",86355.32831
"China, People's Republic of",9531.869133
Colombia,6649.635537
Comoros,1400.528186
Congo,2702.558754
Cook Islands,20705.21125
Costa Rica,12026.54753
Côte d'Ivoire,1716.369319
Croatia,14674.02313
Cuba,8821.822004
Curaçao,19218.86083
Cyprus,28967.57668
Czechia,22992.05975
Democratic People's Republic of Korea,687.9431784
Democratic Republic of the Congo,560.8073543
Denmark,61833.71346
Djibouti,3048.589504
Dominica,7691.345097
Dominican Republic,7650.090029
Ecuador,6344.871607
Egypt,2537.512209
El Salvador,4058.242598
Equatorial Guinea,10179.22968
Eritrea,1985.428285
Estonia,23241.88855
Ethiopia,735.1145116
Fiji,6267.028644
Finland,50135.72066
France,41358.08562
French Polynesia,21967.54041
Gabon,8018.81644
Gambia,716.1203231
Georgia,4396.66682
Germany,47513.7021
Ghana,2201.584397
Greece,20731.20428
Greenland,53949.81456
Grenada,10485.90604
Guatemala,4549.020122
Guinea,937.5969306
Guinea-Bissau,778.3524602
Guyana,4900.755039
Haiti,834.9471909
Honduras,2500.109817
Hungary,16264.01535
Iceland,76867.29879
India,2054.757251
Indonesia,3893.49269
"Iran, Islamic Republic of",5783.494876
Iraq,5523.07895
Ireland,79414.60452
Israel,44214.91035
Italy,34388.51266
Jamaica,5354.253306
Japan,39082.05513
Jordan,4237.796116
Kazakhstan,9789.504209
Kenya,1710.47469
Kingdom of Eswatini,4145.653666
Kiribati,1627.360862
Kosovo,4452.577367
Kuwait,34248.84168
Kyrgyzstan,1283.755664
Lao People's Democratic Republic,2542.489795
Latvia,17851.58012
Lebanon,8223.657767
Lesotho,1248.021592
Liberia,440.2522967
Libya,5147.333759
Liechtenstein,179258.2466
Lithuania,19082.51776
Luxembourg,117369.5405
Madagascar,527.3965817
Malawi,396.6314693
Malaysia,11373.34718
Maldives,10330.5906
Mali,900.096577
Malta,33122.79935
Marshall Islands,3666.897848
Mauritania,1730.438964
Mauritius,11221.98236
Mexico,9694.851548
Micronesia (Federated States of),3296.363636
Monaco,185835.0163
Mongolia,4103.687218
Montenegro,8771.687573
Montserrat,12753.61706
Morocco,3272.948447
Mozambique,498.9407111
Myanmar,1354.445418
Namibia,5930.06883
Nauru,11875.86171
Nepal,990.5566417
Netherlands,53583.14328
New Caledonia,36334.84251
New Zealand,43836.15252
Nicaragua,2028.900656
Niger,571.2737516
Nigeria,2153.526494
Norway,81335.65122
Oman,19072.77958
Pakistan,1330.386326
Palau,15859.43346
Panama,15575.08278
Papua New Guinea,2681.425289
Paraguay,5794.575643
Peru,6947.250055
Philippines,3102.726959
Poland,15444.0012
Portugal,23477.72802
Puerto Rico,33271.16498
Qatar,68793.66078
Republic of Korea,33621.87952
Republic of Moldova,2791.034391
Republic of North Macedonia,6062.944545
Romania,12280.84199
Russian Federation,11394.14094
Rwanda,773.0470743
Saint Kitts and Nevis,19275.41851
Saint Lucia,10566.0498
Saint Vincent and the Grenadines,7361.334168
Samoa,4249.574037
San Marino,48472.71259
Sao Tome and Principe,1948.114855
Saudi Arabia,23217.19605
Senegal,1501.721357
Serbia,7208.779932
Seychelles,16377.85558
Sierra Leone,536.1104592
Singapore,62720.87958
Sint Maarten (Dutch part),23366.71435
Slovakia,19430.79066
Slovenia,26005.0998
Solomon Islands,1946.897639
Somalia,99.57642575
South Africa,6369.231608
South Sudan,747.7170731
Spain,30405.83305
Sri Lanka,4189.687658
State of Palestine,3347.043037
Sudan,1208.440702
Suriname,6003.718431
Sweden,55766.81473
Switzerland,82708.51439
Syrian Arab Republic,981.301766
Tajikistan,826.6202067
Thailand,7273.56485
Timor-Leste,2035.530697
Togo,654.7589349
Tonga,4885.812477
Trinidad and Tobago,17130.33982
Tunisia,3449.581
Turkey,9367.916872
Turkmenistan,6964.613045
Turks and Caicos Islands,27142.24179
Tuvalu,4000.620815
Uganda,704.3946243
Ukraine,2956.92153
United Arab Emirates,43004.95336
United Kingdom of Great Britain and Northern Ireland,42526.43904
United Republic of Tanzania: Mainland,1044.062158
United Republic of Tanzania: Zanzibar,1024.149331
United States,62917.93946
Uruguay,17278.06205
Uzbekistan,1554.980314
Vanuatu,3037.215228
Venezuela (Bolivarian Republic of),7212.158554
Viet Nam,2563.175868
Yemen,935.8881426
Zambia,1572.344032
Zimbabwe,1683.765768
