name,pop2019,density
China,14337836860,147.7068
India,13664177540,415.629
United States,3290649170,35.1092
Indonesia,2706255680,142.0928
Pakistan,2165653180,245.5634
Brazil,2110495270,24.7834
Nigeria,2009635990,217.5477
Bangladesh,1630461610,1104.8734
Russia,1458722560,8.5314
Mexico,1275755290,64.9446
Japan,1268603010,335.6714
Ethiopia,1120787300,101.493
Philippines,1081166150,315.8045
Egypt,1003880730,100.1427
Vietnam,964621060,291.2398
DR Congo,867905670,37.0131
Turkey,834296150,106.4748
Iran,829139060,50.3059
Germany,835170450,233.8666
Thailand,696255820,135.6906
United Kingdom,675301720,278.0164
France,651297280,118.0539
Italy,605500750,200.9387
Tanzania,580054630,61.3758
South Africa,585582700,47.9578
Myanmar,540454200,79.8805
Kenya,525739730,90.5875
South Korea,512253080,511.1796
Colombia,503394430,44.0898
Spain,467367760,92.3666
Uganda,442695940,183.273
Argentina,447806770,16.1058
Algeria,430530540,18.0763
Sudan,428132380,22.6997
Ukraine,439936380,72.8975
Iraq,393097830,89.6835
Afghanistan,380417540,58.3257
Poland,378877680,121.1715
Canada,374110470,3.7468
Morocco,364717690,81.6745
Saudi Arabia,342685280,15.9411
Uzbekistan,329817160,73.7186
Peru,325104530,25.2957
Angola,318252950,25.5276
Malaysia,319497770,96.5825
Mozambique,303660360,37.8823
Ghana,304178560,127.5205
Yemen,291619220,55.2343
Nepal,286087100,194.3777
Venezuela,285158290,31.1157
Madagascar,269693070,45.9411
Cameroon,258763800,54.4259
Ivory Coast,257165440,79.7504
North Korea,256661610,212.93
Australia,252031980,3.2765
Niger,233107150,18.3984
Taiwan,237738760,656.8639
Sri Lanka,213237330,325.0074
Burkina Faso,203213780,74.4463
Mali,196580310,15.8508
Romania,193645570,81.2302
Malawi,186287470,157.2258
Chile,189520380,25.0655
Kazakhstan,185514270,6.8081
Zambia,178610300,23.7321
Guatemala,175814720,161.4623
Ecuador,173736620,62.7568
Syria,170701350,92.1813
Netherlands,170971300,408.5336
Senegal,162963640,82.8396
Cambodia,164865420,91.0683
Chad,159468760,12.4197
Somalia,154429050,24.2182
Zimbabwe,146454680,37.4797
Guinea,127712460,51.9458
Rwanda,126269500,479.4195
Benin,118011510,104.7855
Burundi,115305800,414.2624
Tunisia,116947190,71.4792
Bolivia,115131000,10.48
Belgium,115393280,377.9916
Haiti,112630770,405.8766
Cuba,113334830,103.1404
South Sudan,110621130,17.8495
Dominican Republic,107389580,220.6439
Czech Republic,106892090,135.5381
Greece,104734550,79.3504
Jordan,101016940,113.0677
Portugal,102261870,111.0456
Azerbaijan,100477180,116.0245
Sweden,100363790,22.2885
Honduras,97461170,86.6383
United Arab Emirates,97705290,116.8724
Hungary,96846790,104.105
Tajikistan,93210180,65.1364
Belarus,94524110,45.5318
Austria,89551020,106.7723
