country ,pop_density ,,,
Monaco,"26,337",,,
"China, Macao SAR","21,717",,,
Singapore,"8,358",,,
"China, Hong Kong SAR","7,140",,,
Gibraltar,"3,369",,,
Bahrain,"2,239",,,
Holy See,"1,820",,,
Maldives,"1,802",,,
Malta,"1,380",,,
Bangladesh,"1,265",,,
Sint Maarten (Dutch part),"1,261",,,
Bermuda,"1,246",,,
Channel Islands,915.1,,,
State of Palestine,847.4,,,
Saint-Martin (French part),729.5,,,
Mayotte,727.5,,,
"China, Taiwan Province of China",672.6,,,
Barbados,668.3,,,
Lebanon,667.2,,,
Mauritius,626.5,,,
Aruba,593.1,,,
San Marino,565.5,,,
Nauru,541.2,,,
Republic of Korea,527.3,,,
Rwanda,525,,,
Netherlands,508.2,,,
Comoros,467.3,,,
India,464.1,,,
Burundi,463,,,
Saint-Barthélemy,449,,,
Haiti,413.7,,,
Israel,400,,,
Tuvalu,393.1,,,
Belgium,382.7,,,
Curaçao,369.6,,,
Philippines,367.5,,,
Réunion,358.1,,,
Martinique,354,,,
Japan,346.9,,,
Sri Lanka,341.5,,,
Grenada,331,,,
Marshall Islands,328.8,,,
Puerto Rico,322.5,,,
Viet Nam,313.9,,,
El Salvador,313,,,
Guam,312.5,,,
Saint Lucia,301,,,
United States Virgin Islands,298.4,,,
Pakistan,286.5,,,
Saint Vincent and the Grenadines,284.5,,,
United Kingdom,280.6,,,
American Samoa,276,,,
Cayman Islands,273.8,,,
Jamaica,273.4,,,
Trinidad and Tobago,272.8,,,
Qatar,248.2,,,
Guadeloupe,245.8,,,
Luxembourg,241.7,,,
Germany,240.4,,,
Kuwait,239.7,,,
Gambia,238.8,,,
Liechtenstein,238.3,,,
Uganda,228.9,,,
Sao Tome and Principe,228.3,,,
Nigeria,226.3,,,
Dominican Republic,224.5,,,
Antigua and Barbuda,222.6,,,
Switzerland,219,,,
Dem. People's Republic of Korea,214.1,,,
Seychelles,213.8,,,
Italy,205.6,,,
Saint Kitts and Nevis,204.6,,,
Nepal,203.3,,,
Malawi,202.9,,,
British Virgin Islands,201.5,,,
Guatemala,167.2,,,
Anguilla,166.7,,,
Andorra,164.4,,,
Micronesia (Fed. States of),164.3,,,
China,153.3,,,
Togo,152.2,,,
Indonesia,151,,,
Isle of Man,149.2,,,
Kiribati,147.5,,,
Tonga,146.8,,,
Czechia,138.6,,,
Cabo Verde,138,,,
Thailand,136.6,,,
Ghana,136.6,,,
Denmark,136.5,,,
Tokelau,135.7,,,
Cyprus,130.7,,,
Northern Mariana Islands,125.1,,,
Poland,123.6,,,
Republic of Moldova,122.8,,,
Azerbaijan,122.7,,,
France,119.2,,,
United Arab Emirates,118.3,,,
Ethiopia,115,,,
Jordan,114.9,,,
Slovakia,113.5,,,
Portugal,111.3,,,
Sierra Leone,110.5,,,
